alpha_id,expression,universe,delay,decay,truncation,neutralization,sharpe,fitness,turnover,returns,drawdown,checks_passed,checks_total,status
zq5AbRJ8,"ts_decay_linear(rank(multiply(-1, ts_delta(close, 1))), 3)",TOP3000,0,1,0.005,INDUSTRY,1.05,0.34,0.9558,0,0,4,8,FAILED_LOW_SHARPE
3qEGV1dQ,"ts_decay_linear(rank(multiply(-1, ts_delta(close, 5))), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,1.08,0.56,0.3349,0,0,5,8,FAILED_LOW_SHARPE
e7n16pXM,"ts_decay_linear(rank(multiply(-1, ts_delta(close, 5))), 4)",TOP3000,0,1,0.005,INDUSTRY,1.08,0.56,0.3931,0,0,5,8,FAILED_LOW_SHARPE
ZYjXmEd8,"rank(multiply(-1, ts_corr(close, volume, 20)))",TOP3000,0,4,0.01,SUBINDUSTRY,1.03,0.54,0.1914,0,0,4,8,FAILED_LOW_SHARPE
3qEGjKn0,"rank(multiply(-1, ts_corr(close, volume, 20)))",TOP3000,0,1,0.005,INDUSTRY,0.85,0.38,0.2536,0,0,4,8,FAILED_LOW_SHARPE
LLn82goe,"ts_decay_linear(rank(divide(subtract(vwap, divide(add(high, low), 2)), close)), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,-0.89,-0.36,0.476,0,0,5,8,FAILED_LOW_SHARPE
blNxKxgl,"ts_decay_linear(rank(divide(subtract(vwap, divide(add(high, low), 2)), close)), 4)",TOP3000,0,1,0.005,INDUSTRY,-0.59,-0.16,0.792,0,0,4,8,FAILED_LOW_SHARPE
xAeloKAl,"rank(divide(subtract(high, low), close))",TOP3000,0,4,0.01,SUBINDUSTRY,0.03,0.0,0.3354,0,0,5,8,FAILED_LOW_SHARPE
LLn8wnxe,"rank(divide(subtract(high, low), close))",TOP3000,0,1,0.005,INDUSTRY,0.04,0.0,0.7843,0,0,4,8,FAILED_LOW_SHARPE
akNeYWkx,"rank(divide(volume, adv20))",TOP3000,0,4,0.01,SUBINDUSTRY,0.91,0.37,0.4321,0,0,5,8,FAILED_LOW_SHARPE
0mAxlYQ6,"rank(divide(volume, adv20))",TOP3000,0,1,0.005,INDUSTRY,1.11,0.34,0.8444,0,0,4,8,FAILED_LOW_SHARPE
N1nLmXvo,"ts_decay_linear(rank(divide(volume, adv20)), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,0.72,0.32,0.2861,0,0,5,8,FAILED_LOW_SHARPE
npnmRo0z,"ts_decay_linear(rank(divide(volume, adv20)), 4)",TOP3000,0,1,0.005,INDUSTRY,0.88,0.37,0.4175,0,0,5,8,FAILED_LOW_SHARPE
78x3boOZ,"rank(subtract(divide(add(high, low), 2), close))",TOP3000,0,4,0.01,SUBINDUSTRY,0.92,0.26,0.8363,0,0,3,8,FAILED_LOW_SHARPE
mLqdRv05,"rank(subtract(divide(add(high, low), 2), close))",TOP3000,0,1,0.005,INDUSTRY,0.58,0.1,1.2863,0,0,3,8,FAILED_LOW_SHARPE
j2nobXJ5,"ts_decay_linear(rank(subtract(divide(add(high, low), 2), close)), 4)",TOP3000,0,4,0.01,SUBINDUSTRY,0.92,0.34,0.4998,0,0,5,8,FAILED_LOW_SHARPE
1YoOQNbQ,"ts_decay_linear(rank(subtract(divide(add(high, low), 2), close)), 4)",TOP3000,0,1,0.005,INDUSTRY,0.77,0.21,0.8434,0,0,3,8,FAILED_LOW_SHARPE
QPnOLxjG,"divide(divide(subtract(vwap, close), close), max(ts_decay_linear(rank(ts_arg_max(close, 30)), 2), 0.20))",TOP3000,0,4,0.01,SUBINDUSTRY,0.4,0.09,0.818,0,0,3,8,FAILED_LOW_SHARPE
VkXZJwOV,"divide(divide(subtract(vwap, close), close), max(ts_decay_linear(rank(ts_arg_max(close, 30)), 2), 0.20))",TOP3000,0,1,0.005,INDUSTRY,0.29,0.04,1.4267,0,0,3,8,FAILED_LOW_SHARPE
GrnXJbGJ,"rank(multiply(divide(volume, divide(ts_sum(volume, 60), 60)), rank(divide(divide(ts_sum(close, 5), 5), close))))",TOP3000,0,4,0.01,SUBINDUSTRY,1.36,0.7,0.487,0,0,5,8,FAILED_LOW_SHARPE
YPN8qepw,"rank(multiply(divide(volume, divide(ts_sum(volume, 60), 60)), rank(divide(divide(ts_sum(close, 5), 5), close))))",TOP3000,0,1,0.005,INDUSTRY,0.89,0.3,0.8126,0,0,3,8,FAILED_LOW_SHARPE
